Transaction ID,Date,Time,Type,Name,Emoji,Category,Amount,Currency,Local amount,Local currency,Notes and #tags,Address,Receipt,Description,Category split,Money Out,Money In
tx_0000B0EEP2Me1abHDOHacb,14/11/2025,07:00:24,Pot transfer,Savings Pot,,Savings,30.00,GBP,30.00,GBP,,,,,,,30.00
tx_0000B0FC5FMVz2sSeg8O9K,14/11/2025,18:09:07,Card payment,Tesco,🍏 ,Groceries,-5.70,GBP,-5.70,GBP,,Jamaica Road,,TESCO STORES 4359      LONDON        GBR,,-5.70,
tx_0000B0GhwjhRDBJUQ6QN5W,15/11/2025,11:40:51,Card payment,Transport for London,🚆,Transport,-3.50,GBP,-3.50,GBP,"Travel charge for Friday, 14 Nov",50 Victoria Street,,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR,,-3.50,
tx_0000B0JLbdhYha8ICu2Ikc,16/11/2025,18:14:39,Faster payment,Rakshanda Ranadive,,Transfers,-12.00,GBP,-12.00,GBP,Rakshanda Ranadive,,,Rakshanda Ranadive,,-12.00,
tx_0000B0JLq2qe0LqNbE3mM6,16/11/2025,18:17:16,Card payment,On That Ass,👕,Shopping,-12.99,GBP,-12.99,GBP,,Graafsebaan 135a,,ONTHATASS              Rosmalen      NLD,,-12.99,
tx_0000B0JM41z80ivwSnxddz,16/11/2025,18:19:47,Faster payment,RANADIVE R,,Transfers,13.00,GBP,13.00,GBP,Monzo-FGFJQ,,,Monzo-FGFJQ,,,13.00
tx_0000B0Mp6J9kcRUoeDDESU,18/11/2025,10:29:17,Card payment,Transport for London,🚆,Transport,-11.20,GBP,-11.20,GBP,"Travel charge for Monday, 17 Nov",50 Victoria Street,,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR,,-11.20,
tx_0000B0QIFStXGGXPtTDpj7,20/11/2025,02:40:01,Card payment,Transport for London,🚆,Transport,-3.50,GBP,-3.50,GBP,"Travel charge for Wednesday, 19 Nov","Windsor House, 42-50 Victoria Street",,TfL Travel Charge      TFL.gov.uk/CP GBR,,-3.50,
tx_0000B0Qe2qrl1UZEjzb4ew,20/11/2025,06:44:15,Faster payment,RANADIVE R,,Transfers,72.00,GBP,72.00,GBP,Monzo-FGFJQ,,,Monzo-FGFJQ,,,72.00
tx_0000B0RJLsVZEpvUpaaEKn,20/11/2025,14:27:06,Card payment,Gails Stoke Newington,🍽,Eating out,-4.65,GBP,-4.65,GBP,,62 Stoke Newington Church Street,,GAILS STOKE NEWINGTON  London        GBR,,-4.65,
